symbol,name,asset_type,exchange,source,is_etf
GCT,GigaCloud Technology Inc,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
JJSF,J&J SNACK FOODS CORP,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
MRTN,MARTEN TRANSPORT LTD,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
HCSG,HEALTHCARE SERVICES GROUP INC,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
HYT,"BLACKROCK CORPORATE HIGH YIELD FUND, INC.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
IAUX,i-80 Gold Corp.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
OI,"O-I Glass, Inc. /DE/",stock,NYSE,sec-company-tickers+nasdaq-trader,false
AI,"C3.ai, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
RVLV,"Revolve Group, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
NFJ,"Virtus Dividend, Interest & Premium Strategy Fund",stock,NYSE,sec-company-tickers+nasdaq-trader,false
AHG,Akso Health Group,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
LU,Lufax Holding Ltd,stock,NYSE,sec-company-tickers+nasdaq-trader,false
SEPN,"Septerna, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
ORC,"Orchid Island Capital, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
OLPX,"OLAPLEX HOLDINGS, INC.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
DOLE,Dole plc,stock,NYSE,sec-company-tickers+nasdaq-trader,false
PAHC,PHIBRO ANIMAL HEALTH CORP,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
DFH,"Dream Finders Homes, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
DAO,"Youdao, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
BLKB,BLACKBAUD INC,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
UVV,UNIVERSAL CORP /VA/,stock,NYSE,sec-company-tickers+nasdaq-trader,false
KDK,"Kodiak AI, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
GSL,"Global Ship Lease, Inc.",stock,NYSE,sec-company-tickers+nasdaq-trader,false
